"Gene","GeneSymbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1701114","GBP1",2633,-2.37968650725123,0.575734907614035,-13.7294767097841,8.32296978019441e-20,3.93102185688362e-15,33.9733655323515
"ILMN_2114568","GBP5",115362,-2.38219695159113,0.633908486859649,-12.9450963463746,1.08835752218525e-18,2.4298838133029e-14,31.593490816079
"ILMN_3247506","FCGR1CP",100132417,-2.73089010871921,0.852351087105263,-12.495532248551,4.92210167599048e-18,5.81189460646766e-14,30.1890738990764
"ILMN_2176063","FCGR1A",2209,-2.94036414594089,0.727222348368421,-11.8207653278276,4.97652600127787e-17,3.91743832610592e-13,28.0261105691293
"ILMN_1756953","GBP6",163351,-4.71218616797537,0.401962968912281,-11.6226025220597,9.92590413365396e-17,6.69729111623729e-13,27.3784797896738
"ILMN_2391051","FCGR1BP",2210,-2.90938915933497,0.825957073508772,-11.181146084394,4.70319895350705e-16,2.22136789773092e-12,25.9158016108035
"ILMN_1690105","STAT1",6772,-1.48430710789163,0.341210466122807,-11.1865873885965,4.61319950334039e-16,2.22136789773092e-12,25.9339957210331
"ILMN_1690241","BATF2",116071,-4.99131417613301,0.262103122105263,-10.9419330561737,1.10364721910825e-15,4.34386348380849e-12,25.1119254316971
"ILMN_2173975","RTP4",64108,-1.85209545542365,0.688457315210526,-10.8383239730464,1.60030787759628e-15,5.81416472051921e-12,24.7613302405482
"ILMN_1805750","IFITM3",10410,-2.19830450521428,0.595299562754386,-10.8010634402394,1.82967183756857e-15,6.04515808730594e-12,24.6348938385314
"ILMN_1683792","LAP3",51056,-1.71631650149015,0.535723999561403,-10.7876880269402,1.91986981663715e-15,6.04515808730594e-12,24.5894616060837
"ILMN_2132599","ANKRD22",118932,-3.05330120550493,1.12764102298246,-10.6729595401826,2.90339784052692e-15,7.61835463366262e-12,24.1987846850813
"ILMN_1681301","AIM2",9447,-2.31104078036453,0.809296250842105,-10.6847724197741,2.78214465353792e-15,7.61835463366262e-12,24.2390909213653
"ILMN_2388547","EPSTI1",94240,-2.00573698205665,0.387449369561404,-10.4500513626598,6.51362990317522e-15,1.53822626978434e-11,23.4347796809405
"ILMN_1670305","SERPING1",710,-4.25543545704433,0.819841554561404,-10.3733853718354,8.61165054254813e-15,1.84880393988678e-11,23.1705243173326
"ILMN_1769520","UBE2L6",9246,-1.18926343348645,0.304730241982456,-10.1781220876705,1.75884406494915e-14,3.61182452311362e-11,22.4941178343381
"ILMN_1701455","FBXO6",26270,-1.49524796321182,0.501945825333333,-9.90021895420438,4.89481725763417e-14,9.63279641230498e-11,21.5233319142437
"ILMN_1776157","SEPTIN4",5414,-2.71795797865517,0.911676444017544,-9.783515349312,7.54149887114195e-14,1.42477013273162e-10,21.1129100997604
"ILMN_2342835","P2RY14",9934,-2.21690441253202,0.70483748522807,-9.59025386147515,1.54753505931824e-13,2.81121647641e-10,20.4298127354704
"ILMN_1701914","CD274",29126,-3.68673234025862,1.754323655,-9.31600581375384,4.31850737291018e-13,7.28455077606859e-10,19.4534274936034
"ILMN_1771385","GBP4",115361,-1.40571373735961,0.387526475491228,-9.25908593244549,5.34827761484624e-13,8.71050000092424e-10,19.2497919348515
"ILMN_1779252","TRIM22",10346,-1.28027447621059,0.388046132140351,-9.2371023414292,5.80924433838497e-13,9.14588064487535e-10,19.1710560064389
"ILMN_1724495","SESTD1",91404,-1.12775081718103,0.229594770631579,-9.2273356480514,6.02667081045548e-13,9.18211900156847e-10,19.136060284557
"ILMN_1785732","TNFAIP6",7130,-1.86377524205665,0.550226292982456,-9.21844536823254,6.2316991677756e-13,9.1977932310378e-10,19.1041966168497
"ILMN_1708375","IRF1",3659,-1.04349937843842,0.235956298175439,-9.02632369418844,1.28617599186533e-12,1.84082964459973e-09,18.4137287388379
"ILMN_2373062","RHBDF2",79651,-1.08069504759606,0.412520884368421,-8.9822957455626,1.51916640919015e-12,2.11034554919e-09,18.2550034171828
"ILMN_1774077","GBP2",2634,-1.05142304108128,0.282980878684211,-8.72092460239767,4.09437161631202e-12,5.22652069756846e-09,17.3091885730566
"ILMN_1693630","VPS9D1",9605,-1.43323030404926,0.506944068754386,-8.70038811324265,4.42702277330813e-12,5.50243980542411e-09,17.234628867619
"ILMN_1751079","TAP1",6890,-1.04490694399507,0.394416590473684,-8.65146242097921,5.33315525799669e-12,6.45872451257542e-09,17.0568631166104
"ILMN_2384181","DHRS9",10170,-1.60843825209852,0.315594459333333,-8.58668448482789,6.82603828728091e-12,8.06001535866411e-09,16.8212116142545
"ILMN_1728107","GNG7",2788,1.08842205753571,-0.149804089859649,8.57861428680659,7.03931689598826e-12,8.10912137352248e-09,16.791831041187
"ILMN_1759250","TAP2",6891,-1.19392246267365,0.315828224140351,-8.55088787638851,7.82440040392206e-12,8.79891084470578e-09,16.6908522583003
"ILMN_2370573","XAF1",54739,-1.63553182337438,0.450823595789474,-8.53637776320855,8.26972998476521e-12,9.08343295140572e-09,16.6379840463854
"ILMN_1667050","PRPS1",5631,1.00067146573399,-0.12184604454386,8.51789049720435,8.87420266853957e-12,9.52585150540437e-09,16.5706024882727
