"from","to","interaction","score"
"9606.ENSP00000075120","9606.ENSP00000445929","pp",0.868
"9606.ENSP00000168216","9606.ENSP00000266987","pp",0.911
"9606.ENSP00000178640","9606.ENSP00000311005","pp",0.999
"9606.ENSP00000196371","9606.ENSP00000324842","pp",0.958
"9606.ENSP00000200676","9606.ENSP00000363868","pp",0.831
"9606.ENSP00000200676","9606.ENSP00000317674","pp",0.896
"9606.ENSP00000203629","9606.ENSP00000231009","pp",0.701
"9606.ENSP00000203629","9606.ENSP00000228434","pp",0.713
"9606.ENSP00000203629","9606.ENSP00000357012","pp",0.723
"9606.ENSP00000203629","9606.ENSP00000482259","pp",0.735
"9606.ENSP00000203629","9606.ENSP00000356694","pp",0.768
"9606.ENSP00000203629","9606.ENSP00000436423","pp",0.786
"9606.ENSP00000203629","9606.ENSP00000324890","pp",0.826
"9606.ENSP00000203629","9606.ENSP00000358294","pp",0.83
"9606.ENSP00000203629","9606.ENSP00000380855","pp",0.872
"9606.ENSP00000203629","9606.ENSP00000229135","pp",0.877
"9606.ENSP00000203629","9606.ENSP00000333919","pp",0.887
"9606.ENSP00000203629","9606.ENSP00000386559","pp",0.947
"9606.ENSP00000203629","9606.ENSP00000419085","pp",0.955
"9606.ENSP00000203629","9606.ENSP00000497102","pp",0.965
"9606.ENSP00000203629","9606.ENSP00000370989","pp",0.976
"9606.ENSP00000206513","9606.ENSP00000466090","pp",0.707
"9606.ENSP00000211998","9606.ENSP00000279022","pp",0.749
"9606.ENSP00000211998","9606.ENSP00000354826","pp",0.771
"9606.ENSP00000211998","9606.ENSP00000378400","pp",0.773
"9606.ENSP00000211998","9606.ENSP00000353452","pp",0.814
"9606.ENSP00000211998","9606.ENSP00000267984","pp",0.845
"9606.ENSP00000211998","9606.ENSP00000452786","pp",0.874
"9606.ENSP00000211998","9606.ENSP00000269141","pp",0.939
"9606.ENSP00000211998","9606.ENSP00000378332","pp",0.959
"9606.ENSP00000211998","9606.ENSP00000337598","pp",0.961
"9606.ENSP00000211998","9606.ENSP00000420213","pp",0.995
"9606.ENSP00000211998","9606.ENSP00000240123","pp",0.999
"9606.ENSP00000215781","9606.ENSP00000361548","pp",0.709
"9606.ENSP00000215781","9606.ENSP00000261799","pp",0.721
"9606.ENSP00000215781","9606.ENSP00000379111","pp",0.742
"9606.ENSP00000215781","9606.ENSP00000330393","pp",0.811
"9606.ENSP00000215781","9606.ENSP00000370698","pp",0.998
"9606.ENSP00000215838","9606.ENSP00000301458","pp",0.999
"9606.ENSP00000218176","9606.ENSP00000384719","pp",0.7
"9606.ENSP00000219782","9606.ENSP00000360266","pp",0.702
"9606.ENSP00000220913","9606.ENSP00000368358","pp",0.906
"9606.ENSP00000221233","9606.ENSP00000229214","pp",0.798
"9606.ENSP00000221233","9606.ENSP00000328854","pp",0.807
"9606.ENSP00000221233","9606.ENSP00000264951","pp",0.809
"9606.ENSP00000221233","9606.ENSP00000230340","pp",0.828
"9606.ENSP00000221233","9606.ENSP00000363642","pp",0.83
"9606.ENSP00000221233","9606.ENSP00000371169","pp",0.88
"9606.ENSP00000221804","9606.ENSP00000441600","pp",0.765
"9606.ENSP00000221972","9606.ENSP00000451506","pp",0.711
"9606.ENSP00000221972","9606.ENSP00000264972","pp",0.714
"9606.ENSP00000221972","9606.ENSP00000322898","pp",0.732
"9606.ENSP00000221972","9606.ENSP00000259633","pp",0.771
