"GeneSymbol","logFC","adj.P.Val","P.Value","Degree","Betweenness","Closeness","Centrality_Rank","Louvain_Module","Module_Size","Rank","Score","MCC_Hub","Is_MCC_Hub","Top_Centrality","Major_Module","Strong_DEG","Priority_Score","Direction","Validation_logFC","Direction_consistency","Validated_in_GSE19435"
"GBP1",-2.37968650725123,3.93102185688362e-15,8.32296978019441e-20,26,3680,0.353502258014969,16,11,53,19,1.5e+12,"Yes",1,1,1,1,4,"Down_in_ATB12m",-917.344571428571,"Consistent","Yes"
"XAF1",-1.63553182337438,9.08343295140572e-09,8.26972998476521e-12,25,24,0.330144340835827,19,11,53,10,7.1e+12,"Yes",1,1,1,1,4,"Down_in_ATB12m",-793.243928571428,"Consistent","Yes"
"IFIT3",-1.64384782685468,1.40907299965247e-07,2.65519461728674e-10,30,137,0.32992839545304,8,11,53,1,7.3e+12,"Yes",1,1,1,1,4,"Down_in_ATB12m",-302.895992857143,"Consistent","Yes"
"RSAD2",-2.10137693423892,8.22706859239735e-07,2.64765604379411e-09,27,74,0.330503368175701,13,11,53,3,7.3e+12,"Yes",1,1,1,1,4,"Down_in_ATB12m",NA,NA,"No"
"IFI44L",-2.1166730394766,9.65158540884132e-06,7.33611221819152e-08,29,2102,0.335632439974556,10,11,53,4,7.3e+12,"Yes",1,1,1,1,4,"Down_in_ATB12m",NA,NA,"No"
"ISG15",-1.51545012648522,0.000442341717750365,1.22500681081806e-05,29,3636,0.344213640931061,9,11,53,6,7.27e+12,"Yes",1,1,1,1,4,"Down_in_ATB12m",NA,NA,"No"
"STAT1",-1.48430710789163,2.22136789773092e-12,4.61319950334039e-16,58,15687,0.397967411856301,1,11,53,11,7.09e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",-1226.68485714286,"Consistent","Yes"
"IFITM3",-2.19830450521428,6.04515808730594e-12,1.82967183756857e-15,17,164,0.334138036946328,55,11,53,20,1.39e+12,"Yes",1,0,1,1,3,"Down_in_ATB12m",-9906.25497142857,"Consistent","Yes"
"EPSTI1",-2.00573698205665,1.53822626978434e-11,6.51362990317522e-15,22,65,0.320841304745299,27,11,53,NA,NA,NA,0,1,1,1,3,"Down_in_ATB12m",-2644.73324285714,"Consistent","Yes"
"IFIH1",-1.16493111018227,4.07588664059033e-08,5.35040485521375e-11,30,360,0.330316252569327,7,11,53,2,7.3e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",NA,NA,"No"
"IFI35",-1.08727889728325,6.39953316653243e-08,9.2136151113507e-11,30,10848,0.343953588795224,5,11,53,12,6.9e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",-576.981171428571,"Consistent","Yes"
"PARP9",-1.17217211690887,8.47837785440554e-08,1.29246301267642e-10,26,596,0.327847260399487,18,11,53,16,3.02e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",-923.558514285715,"Consistent","Yes"
"IFI6",-1.76425566338547,9.40025571601216e-08,1.45289887419044e-10,20,35,0.319448929671714,35,11,53,15,4.28e+12,"Yes",1,0,1,1,3,"Down_in_ATB12m",-687.4113,"Consistent","Yes"
"IFIT2",-1.14381419756897,4.54524322779908e-07,1.27991647286163e-09,27,240,0.331558505959728,12,11,53,9,7.11e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",-1661.16414285714,"Consistent","Yes"
"IRF7",-1.03183079886699,1.20004393228006e-06,4.34217501578424e-09,30,3069.5,0.365604736576998,6,11,53,13,6.9e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",-687.213585714285,"Consistent","Yes"
"IFI44",-1.49588545192365,1.8835372841219e-06,7.69669699636946e-09,27,0,0.32523350416377,15,11,53,5,7.3e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",-1159.72778571429,"Consistent","Yes"
"DDX60",-1.0133991618165,4.14662095050527e-06,2.22997971973564e-08,21,19,0.333177898811399,30,11,53,17,2.92e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",NA,NA,"No"
"OAS1",-1.14505140114532,1.56276799539983e-05,1.38857248999937e-07,25,24,0.32083636014652,20,11,53,7,7.27e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",-184.395154285714,"Consistent","Yes"
"BYSL",1.8421045492069,0.000138938582852608,2.64457212391214e-06,23,2865,0.264656968741585,23,4,59,NA,NA,NA,0,1,1,1,3,"Up_in_ATB12m",NA,NA,"No"
"OAS3",-1.19064931358621,0.00031104399098278,7.70619331059697e-06,23,84,0.320448235715565,24,11,53,8,7.13e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",NA,NA,"No"
"CD40LG",1.67658216560098,0.000479537659461873,1.35035270708707e-05,22,1404,0.340241422833171,26,6,101,NA,NA,NA,0,1,1,1,3,"Up_in_ATB12m",21.4332212857143,"Consistent","Yes"
"H3C13",-1.82892430388177,0.00135524010352103,5.21654529483015e-05,28,18335.5,0.333787128352083,11,10,49,NA,NA,NA,0,1,1,1,3,"Down_in_ATB12m",NA,NA,"No"
"IFI27",-1.94259948592118,0.00268837044702247,0.000126020032811242,18,31,0.324532227183896,46,11,53,18,2.88e+12,"Yes",1,0,1,1,3,"Down_in_ATB12m",NA,NA,"No"
"OAS2",-1.20493730065148,0.0161745034107542,0.00132248853922592,27,16,0.327592594976818,14,11,53,14,5.91e+12,"Yes",1,1,1,0,3,"Down_in_ATB12m",NA,NA,"No"
"GBP5",-2.38219695159113,2.4298838133029e-14,1.08835752218525e-18,9,2479.5,0.33774690367945,111,11,53,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",-3208.99758571429,"Consistent","Yes"
"FCGR1A",-2.94036414594089,3.91743832610592e-13,4.97652600127787e-17,12,208,0.343087608694349,82,6,101,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",-1536.83830857143,"Consistent","Yes"
"BATF2",-4.99131417613301,4.34386348380849e-12,1.10364721910825e-15,5,913,0.31784740964771,176,3,67,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",-172.036177142857,"Consistent","Yes"
"RTP4",-1.85209545542365,5.81416472051921e-12,1.60030787759628e-15,18,62,0.306148914040337,45,11,53,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",-142.601565714286,"Consistent","Yes"
"LAP3",-1.71631650149015,6.04515808730594e-12,1.91986981663715e-15,2,457,0.304259702263945,301,11,53,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",-555.987371428572,"Consistent","Yes"
"ANKRD22",-3.05330120550493,7.61835463366262e-12,2.90339784052692e-15,1,0,0.259429379980775,461,3,67,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",-703.780332857143,"Consistent","Yes"
"SERPING1",-4.25543545704433,1.84880393988678e-11,8.61165054254813e-15,4,373,0.259387946389382,212,3,67,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",-387.415938571429,"Consistent","Yes"
"CD274",-3.68673234025862,7.28455077606859e-10,4.31850737291018e-13,20,562,0.347649193119886,33,6,101,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",-54.3029942857143,"Consistent","Yes"
"IRF1",-1.04349937843842,1.84082964459973e-09,1.28617599186533e-12,22,10015,0.369751128427161,25,11,53,NA,NA,NA,0,1,1,0,2,"Down_in_ATB12m",-1950.26328571429,"Consistent","Yes"
"CACNA2D3",3.11575569415025,3.71417162951278e-08,4.48239044022419e-11,3,1365,0.183391387251736,242,7,31,NA,NA,NA,0,0,1,1,2,"Up_in_ATB12m",25.6883408571428,"Consistent","Yes"
"C1QB",-4.26648495460345,3.73713569378827e-08,4.58922890135122e-11,4,0,0.229486626391262,232,3,67,NA,NA,NA,0,0,1,1,2,"Down_in_ATB12m",NA,NA,"No"
