"Gene","GeneSymbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","label"
"ILMN_1728107","GNG7","2788",1.08842205753571,-0.149804089859649,8.57861428680659,7.03931689598826e-12,8.10912137352248e-09,16.791831041187,"Up",""
"ILMN_1667050","PRPS1","5631",1.00067146573399,-0.12184604454386,8.51789049720435,8.87420266853957e-12,9.52585150540437e-09,16.5706024882727,"Up",""
"ILMN_1754076","CACNA2D3","55799",3.11575569415025,-1.08412453298246,8.09486231937507,4.48239044022419e-11,3.71417162951278e-08,15.0225686585841,"Up",""
"ILMN_1677122","FAM168B","130074",1.15051725222291,-0.250100396754386,8.07759885858532,4.78957547636932e-11,3.83417693770168e-08,14.9591709564747,"Up",""
"ILMN_1795338","YPEL1","29799",1.10878143392611,-0.293208509964912,7.8648128781157,1.08528993685291e-10,7.32276128678565e-08,14.1765863504196,"Up",""
"ILMN_1719756","ZAP70","7535",1.30911997559852,-0.420521359,7.64357529391443,2.54428068776328e-10,1.3812519673994e-07,13.3610690337868,"Up",""
"ILMN_1775542","FCMR","9214",1.1656459935197,-0.34185409745614,7.57482888104814,3.31619139363671e-10,1.68416167433178e-07,13.1073773644061,"Up",""
"ILMN_1654586","RASA3","22821",1.06273071365271,-0.262677294859649,7.52291913239259,4.05090773896434e-10,1.97245797339201e-07,12.915752046548,"Up",""
"ILMN_3235832","CCL4L2","9560",1.25375616847167,-0.280390811315789,7.4957043225718,4.4990837473503e-10,2.12496224471102e-07,12.8152694836505,"Up",""
"ILMN_1760109","SLAMF6","114836",1.10873008585468,-0.296712924350877,7.45497530781792,5.26419030584572e-10,2.43757816015097e-07,12.6648693362262,"Up",""
"ILMN_1701114","GBP1","2633",-2.37968650725123,0.575734907614035,-13.7294767097841,8.32296978019441e-20,3.93102185688362e-15,33.9733655323515,"Down",""
"ILMN_2114568","GBP5","115362",-2.38219695159113,0.633908486859649,-12.9450963463746,1.08835752218525e-18,2.4298838133029e-14,31.593490816079,"Down",""
"ILMN_2148785","GBP1","2633",-2.13911311020443,0.617556873736842,-12.840339244359,1.54340400158978e-18,2.4298838133029e-14,31.2688656355779,"Down",""
"ILMN_3247506","FCGR1CP","100132417",-2.73089010871921,0.852351087105263,-12.495532248551,4.92210167599048e-18,5.81189460646766e-14,30.1890738990764,"Down",""
"ILMN_2261600","FCGR1A","2209",-2.60984415661576,0.784845489754386,-11.8421589329205,4.62044422806145e-17,3.91743832610592e-13,28.0956937706568,"Down",""
"ILMN_2176063","FCGR1A","2209",-2.94036414594089,0.727222348368421,-11.8207653278276,4.97652600127787e-17,3.91743832610592e-13,28.0261105691293,"Down",""
"ILMN_1756953","GBP6","163351",-4.71218616797537,0.401962968912281,-11.6226025220597,9.92590413365396e-17,6.69729111623729e-13,27.3784797896738,"Down",""
"ILMN_1782487","GBP1","2633",-2.86560453030788,0.439498091929825,-11.3849630061448,2.28644926716335e-16,1.3498910667174e-12,26.5944994494176,"Down",""
"ILMN_1690105","STAT1","6772",-1.48430710789163,0.341210466122807,-11.1865873885965,4.61319950334039e-16,2.22136789773092e-12,25.9339957210331,"Down",""
"ILMN_2391051","FCGR1BP","2210",-2.90938915933497,0.825957073508772,-11.181146084394,4.70319895350705e-16,2.22136789773092e-12,25.9158016108035,"Down",""
