"CTD_Evidence","CTD_PharmaScore","DGIdb_Evidence","DGIdb_Score","DrugShot_Evidence","DrugShot_Score","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,,,,,,"pp","9606.ENSP00000473238 (pp) 9606.ENSP00000481841","false","pp","9606.ENSP00000473238 (pp) 9606.ENSP00000481841","0.0","0.0","0.0","0.0","0.0",,"0.0","0.7","0.7"
,,,,,,"pp","9606.ENSP00000458537 (pp) 9606.ENSP00000501111","false","pp","9606.ENSP00000458537 (pp) 9606.ENSP00000501111","0.918","0.0","0.0","0.052","0.0",,"0.0","0.929","0.152"
,,,,,,"pp","9606.ENSP00000410964 (pp) 9606.ENSP00000479488","false","pp","9606.ENSP00000410964 (pp) 9606.ENSP00000479488","0.06","0.0","0.0","0.294","0.0",,"0.0","0.986","0.98"
,,,,,,"pp","9606.ENSP00000410964 (pp) 9606.ENSP00000445725","false","pp","9606.ENSP00000410964 (pp) 9606.ENSP00000445725","0.049","0.0","0.0","0.636","0.0",,"0.0","0.931","0.817"
,,,,,,"pp","9606.ENSP00000401831 (pp) 9606.ENSP00000446252","false","pp","9606.ENSP00000401831 (pp) 9606.ENSP00000446252","0.11","0.0","0.0","0.758","0.0",,"0.0","0.791","0.108"
,,,,,,"pp","9606.ENSP00000383986 (pp) 9606.ENSP00000426191","false","pp","9606.ENSP00000383986 (pp) 9606.ENSP00000426191","0.091","0.0","0.0","0.757","0.0",,"0.0","0.834","0.31"
,,,,,,"pp","9606.ENSP00000448012 (pp) 9606.ENSP00000483364","false","pp","9606.ENSP00000448012 (pp) 9606.ENSP00000483364","0.0","0.0","0.0","0.0","0.0",,"0.0","0.909","0.909"
,,,,,,"pp","9606.ENSP00000382895 (pp) 9606.ENSP00000448012","false","pp","9606.ENSP00000382895 (pp) 9606.ENSP00000448012","0.0","0.0","0.0","0.095","0.0",,"0.0","0.951","0.948"
,,,,,,"pp","9606.ENSP00000382895 (pp) 9606.ENSP00000480364","false","pp","9606.ENSP00000382895 (pp) 9606.ENSP00000480364","0.0","0.0","0.0","0.062","0.0",,"0.0","0.749","0.743"
,,,,,,"pp","9606.ENSP00000377936 (pp) 9606.ENSP00000429744","false","pp","9606.ENSP00000377936 (pp) 9606.ENSP00000429744","0.0","0.0","0.9","0.0","0.0",,"0.0","0.901","0.054"
,,,,,,"pp","9606.ENSP00000377936 (pp) 9606.ENSP00000417963","false","pp","9606.ENSP00000377936 (pp) 9606.ENSP00000417963","0.0","0.0","0.54","0.187","0.0",,"0.0","0.811","0.535"
,,,,,,"pp","9606.ENSP00000377936 (pp) 9606.ENSP00000419101","false","pp","9606.ENSP00000377936 (pp) 9606.ENSP00000419101","0.072","0.0","0.65","0.0","0.0",,"0.0","0.703","0.159"
,,,,,,"pp","9606.ENSP00000375066 (pp) 9606.ENSP00000436714","false","pp","9606.ENSP00000375066 (pp) 9606.ENSP00000436714","0.999","0.047","0.5","0.0","0.0",,"0.0","0.999","0.394"
,,,,,,"pp","9606.ENSP00000375066 (pp) 9606.ENSP00000473159","false","pp","9606.ENSP00000375066 (pp) 9606.ENSP00000473159","0.086","0.0","0.0","0.0","0.0",,"0.0","0.727","0.714"
