"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","4/4","187/9376",0.0213903743315508,50.1390374331551,14.0220921347111,1.53303355534453e-07,4.90570737710249e-06,1.61371953194161e-06,"2633/6772/3665/4938",4
"Human Diseases","Infectious disease: viral","hsa05162","Measles","3/4","136/9376",0.0220588235294118,51.7058823529412,12.3052745212139,1.1816177152993e-05,0.000175661579655317,5.77834143603015e-05,"6772/3665/4938",3
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","3/4","156/9376",0.0192307692307692,45.0769230769231,11.4685259660429,1.78555598279246e-05,0.000175661579655317,5.77834143603015e-05,"6772/3665/4938",3
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","3/4","173/9376",0.0173410404624277,40.6473988439306,10.8735795026417,2.43651232961072e-05,0.000175661579655317,5.77834143603015e-05,"6772/3665/4938",3
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","3/4","180/9376",0.0166666666666667,39.0666666666667,10.6532253622706,2.74471218211432e-05,0.000175661579655317,5.77834143603015e-05,"6772/3665/4938",3
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","3/4","205/9376",0.0146341463414634,34.3024390243902,9.95965097921489,4.05461093243634e-05,0.000216245916396605,7.1133525130462e-05,"6772/3665/4938",3
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","2/4","109/9376",0.018348623853211,43.0091743119266,9.11354425737538,0.000791371810350046,0.00361769970445735,0.00119003279751887,"6772/3665",2
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","2/4","163/9376",0.0122699386503067,28.760736196319,7.3862455214509,0.00176144489452146,0.00704577957808584,0.00231769065068613,"6772/3665",2
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","2/4","196/9376",0.0102040816326531,23.9183673469388,6.69868977029756,0.00253744019336217,0.00902200957639881,0.00296776630802593,"6772/3665",2
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","2/4","238/9376",0.00840336134453781,19.6974789915966,6.03594744189612,0.00372220915325035,0.0119110692904011,0.00391811489815827,"6772/4938",2
